Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,Kenya,KEN,31.97362467,30.86077379,36.06657462,41.31148627,38.59544878,36.45079882,43.966239,45.5973577,..,..
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,Nigeria,NGA,18.30934042,18.74435301,14.08116459,11.17976392,18.00973372,16.20382629,17.00393237,16.57992127,..,..
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,Ghana,GHA,..,31.4,..,..,34.8,..,..,36.6,..,..
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,Kenya,KEN,36.1,..,..,..,..,31,..,33.9,..,..
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,Nigeria,NGA,14.6,..,..,18,..,..,14.9,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ghana,GHA,3.982,3.873,3.715,3.65,3.593,3.541,3.492,3.434,3.397,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kenya,KEN,3.766,3.689,3.609,3.536,3.433,3.364,3.312,3.262,3.208,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nigeria,NGA,5.503,5.343,5.182,5.021,4.861,4.7,4.636,4.552,4.482,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ghana,GHA,1880,1760,1830,2060,2170,2250,2300,2400,2280,2320
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Kenya,KEN,1320,1490,1540,1720,1880,1910,2070,2170,2110,2110
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Nigeria,NGA,2760,2370,2020,1950,2050,2060,2110,2120,1880,1250
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Ghana,GHA,0.69,..,..,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Kenya,KEN,..,..,..,..,1.33,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Ghana,GHA,..,..,0.439,0.443490088,..,0.450056404,..,..,..,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Kenya,KEN,..,..,0.518,0.542186081,..,0.546752512,..,..,..,..
Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,Nigeria,NGA,..,..,0.342,0.354753166,..,0.360609829,..,..,..,..
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Ghana,GHA,..,..,0.446,0.450379938,..,0.457844108,..,..,..,..
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Kenya,KEN,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), female (scale 0-1)",HD.HCI.OVRL.FE,Nigeria,NGA,..,..,0.338,0.359684616,..,0.366005272,..,..,..,..
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,Ghana,GHA,..,..,0.431,0.437215596,..,0.444008112,..,..,..,..
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,Kenya,KEN,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), female, lower bound (scale 0-1)",HD.HCI.OVRL.LB.FE,Nigeria,NGA,..,..,0.316,0.335510284,..,0.340319633,..,..,..,..
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,Ghana,GHA,..,..,0.459,0.463093549,..,0.471003383,..,..,..,..
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,Kenya,KEN,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), female, upper bound (scale 0-1)",HD.HCI.OVRL.UB.FE,Nigeria,NGA,..,..,0.358,0.380619794,..,0.387768537,..,..,..,..
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,Ghana,GHA,..,..,0.424,0.431690723,..,0.437522233,..,..,..,..
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,Kenya,KEN,..,..,0.5,0.523420513,..,0.52703017,..,..,..,..
"Human capital index (HCI), lower bound (scale 0-1)",HD.HCI.OVRL.LB,Nigeria,NGA,..,..,0.318,0.330126464,..,0.334571511,..,..,..,..
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,Ghana,GHA,..,..,0.432,0.436948508,..,0.442706198,..,..,..,..
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,Kenya,KEN,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), male (scale 0-1)",HD.HCI.OVRL.MA,Nigeria,NGA,..,..,0.345,0.349902004,..,0.355427831,..,..,..,..
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,Ghana,GHA,..,..,0.416,0.423012584,..,0.427968919,..,..,..,..
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,Kenya,KEN,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), male, lower bound (scale 0-1)",HD.HCI.OVRL.LB.MA,Nigeria,NGA,..,..,0.32,0.324671239,..,0.328486353,..,..,..,..
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,Ghana,GHA,..,..,0.445,0.450031638,..,0.456225872,..,..,..,..
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,Kenya,KEN,..,..,..,..,..,..,..,..,..,..
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,Nigeria,NGA,..,..,0.365,0.370237857,..,0.3767564,..,..,..,..
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,Ghana,GHA,..,..,0.452,0.454751998,..,0.461756647,..,..,..,..
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,Kenya,KEN,..,..,0.534,0.559486806,..,0.564601123,..,..,..,..
"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,Nigeria,NGA,..,..,0.361,0.374713928,..,0.381459713,..,..,..,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Ghana,GHA,97,94,99,98,96,93,99,96,97,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Kenya,KEN,87,97,87,93,96,97,94,94,90,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Nigeria,NGA,53,64,67,71,75,74,74,74,74,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Ghana,GHA,88,93,99,97,97,94,98,99,95,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Kenya,KEN,89,88,81,91,93,93,95,94,93,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Nigeria,NGA,42,53,55,61,66,62,62,62,62,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Ghana,GHA,88,93,99,97,97,94,98,99,95,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Kenya,KEN,89,88,81,91,93,93,95,94,93,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Nigeria,NGA,42,53,55,61,66,62,62,62,62,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Ghana,GHA,88,93,99,97,97,94,98,99,95,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Kenya,KEN,89,88,81,91,93,93,95,94,93,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Nigeria,NGA,42,53,55,61,66,62,62,62,62,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Ghana,GHA,89,89,95,92,92,88,94,95,90,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Kenya,KEN,96,93,84,92,92,89,90,89,91,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Nigeria,NGA,42,48,54,56,58,60,60,60,60,..
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Ghana,GHA,63,75,83,83,83,79,83,84,78,..
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Kenya,KEN,28,35,41,53,60,67,71,70,76,..
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Nigeria,NGA,..,..,..,..,9,38,38,38,38,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Ghana,GHA,88,95,94,98,97,92,98,90,91,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Kenya,KEN,79,84,76,89,88,92,95,91,92,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Nigeria,NGA,42,53,55,61,66,62,62,62,62,..
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,Ghana,GHA,1.15,1.13,1.15,1.15,1.13,1.05,0.89,0.77,..,..
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,Kenya,KEN,1.91,1.61,1.36,1.19,1.13,1.08,0.94,0.74,..,..
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Ghana,GHA,1.25,1.22,1.23,1.23,1.2,1.1,0.93,0.81,..,..
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Kenya,KEN,1.72,1.44,1.22,1.06,1.01,0.96,0.84,0.68,..,..
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3,Ghana,GHA,0.4,0.39,0.39,0.39,0.38,0.35,0.29,0.26,..,..
"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3,Kenya,KEN,0.53,0.45,0.38,0.33,0.31,0.29,0.25,0.2,..,..
"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,Ghana,GHA,0.84,0.81,0.8,0.79,0.78,0.71,0.59,0.53,..,..
"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,Kenya,KEN,1.04,0.88,0.79,0.66,0.63,0.6,0.54,0.46,..,..
"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Ghana,GHA,274.27,239.27,223.76,217.5,221.12,225.78,216.42,211.71,193.9,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Kenya,KEN,69.37,64.8,64.07,61.18,58.68,61.86,63.69,62.09,59.53,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Nigeria,NGA,283.81,284.83,288.98,291.07,293,304.37,299.27,299,299,..
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Ghana,GHA,160,156,152,148,144,140,136,133,129,..
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Kenya,KEN,380,348,319,292,267,251,253,245,223,..
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Nigeria,NGA,219,219,219,219,219,219,219,219,219,..
"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)",SH.STA.IYCF.ZS,Ghana,GHA,..,..,..,13,..,..,..,..,..,..
"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)",SH.STA.IYCF.ZS,Kenya,KEN,..,..,..,..,..,..,..,..,..,..
"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)",SH.STA.IYCF.ZS,Nigeria,NGA,..,15.5,15.473305,10.6,..,..,..,..,..,..
Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women),SH.MLR.IPTP.ZS,Ghana,GHA,..,59.6,..,51.7,61,..,..,..,..,..
Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women),SH.MLR.IPTP.ZS,Kenya,KEN,22.9,..,..,..,..,22,..,..,..,..
Intermittent preventive treatment (IPT) of malaria in pregnancy (% of pregnant women),SH.MLR.IPTP.ZS,Nigeria,NGA,21.4,..,14.9,16.6,..,..,..,..,..,..
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Ghana,GHA,47.35491654,47.59643375,47.86676226,48.15346579,48.45118972,48.6406492,48.97474198,49.13079647,49.15161526,49.22445074
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Kenya,KEN,48.49540631,48.47993322,47.99836572,47.45692113,46.85062812,46.87048015,47.01915875,47.08986107,47.20669089,47.19050422
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,Nigeria,NGA,47.28336748,47.18139406,47.12295043,47.08382135,47.05087375,46.9580314,46.95366556,46.9421478,48.43633304,48.40494402
"Labor force, total",SL.TLF.TOTL.IN,Ghana,GHA,12200598,12373780,12546445,12708213,12862066,12912046,13153762,13346759,13674692,13927871
"Labor force, total",SL.TLF.TOTL.IN,Kenya,KEN,20289697,20945264,20982904,20958591,20875750,21254171,22012863,22574747,23184849,23781100
"Labor force, total",SL.TLF.TOTL.IN,Nigeria,NGA,85977639,88619376,91313512,93991721,96681958,99696279,102508968,105432630,110183277,113349564
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Ghana,GHA,65.063,65.446,65.788,66.164,66.574,66.671,66.533,67.611,67.943,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Kenya,KEN,64.344,64.669,64.933,65.003,65.1,64.24,63.636,65.869,65.92,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Nigeria,NGA,52.243,52.429,52.639,52.914,53.24,53.432,53.741,54.375,54.743,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Ghana,GHA,61.317,61.63,61.907,62.155,62.387,62.028,62.107,62.954,63.134,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Kenya,KEN,60.27,60.455,60.599,60.728,60.859,59.145,58.968,61.324,61.459,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Nigeria,NGA,51.626,51.939,52.145,52.415,52.769,52.707,53.163,53.778,54.176,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,63.175,63.522,63.829,64.138,64.455,64.309,64.286,65.246,65.498,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,62.279,62.526,62.725,62.825,62.939,61.596,61.225,63.549,63.646,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nigeria,NGA,51.939,52.189,52.397,52.669,53.009,53.072,53.455,54.079,54.462,..
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Ghana,GHA,1.184671461,1.096185865,1.017973158,0.959082554,0.887835684,0.848569616,0.870467284,0.775197811,0.750389173,..
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Kenya,KEN,0.78467346,0.737413868,0.683807122,0.655814404,0.608231553,0.62005109,0.606968602,0.508917588,0.479347697,..
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Nigeria,NGA,5.871588543,5.619011538,5.374441083,5.098522219,4.811028551,4.550192148,4.41247092,4.2138075,4.061188758,..
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,Ghana,GHA,84,91,98,104,113,118,115,129,133,..
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,Kenya,KEN,127,136,146,152,164,161,165,196,209,..
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,Nigeria,NGA,17,18,19,20,21,22,23,24,25,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Ghana,GHA,..,..,56.02021027,..,..,76.19000244,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Kenya,KEN,..,..,..,..,..,..,..,80.26999664,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Nigeria,NGA,..,49.05595016,..,52.65647888,..,..,53.25244141,..,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Ghana,GHA,..,..,74.89408112,..,..,84.48999786,..,..,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Kenya,KEN,..,..,..,..,..,..,..,85.58000183,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Nigeria,NGA,..,68.11943054,..,71.25570679,..,..,73.72950745,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Ghana,GHA,..,..,64.49239349,..,..,80.37999725,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Kenya,KEN,..,..,..,..,..,..,..,82.87999725,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Nigeria,NGA,..,58.22134018,..,62.01601028,..,..,63.15554047,..,..,..
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,Ghana,GHA,..,..,89.77028656,..,..,93.58999634,..,89.86000061,..,..
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,Kenya,KEN,..,..,..,..,..,..,..,96.14752197,..,..
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,Nigeria,NGA,..,78.43424225,..,71.80612183,..,..,77.77638245,..,..,..
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,Ghana,GHA,..,..,87.78218079,..,..,93.48000336,..,85.86000061,..,..
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,Kenya,KEN,..,..,..,..,..,..,..,95.72988892,..,..
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,Nigeria,NGA,..,72.95526123,..,65.78498077,..,..,73.67276764,..,..,..
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,Ghana,GHA,14.67139497,14.61791717,14.55987708,14.50085243,14.45498341,14.41585206,..,..,..,..
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,Kenya,KEN,10.56286285,10.45863059,10.3358498,10.20389907,10.08017709,9.971119457,..,..,..,..
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
Malaria cases reported,SH.STA.MALR,Ghana,GHA,5657096,5428979,7003155,4931454,6115267,5447563,5747585,5239236,5693888,..
Malaria cases reported,SH.STA.MALR,Kenya,KEN,2041277,3064796,3607026,2318090,5019389,4069277,4270769,4890691,5619026,..
Malaria cases reported,SH.STA.MALR,Nigeria,NGA,8068583,13598282,13087878,14548024,19806915,18325240,21325186,23050405,24098323,..
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,Ghana,GHA,100,..,100,..,..,..,..,..,..,..
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,Kenya,KEN,100,..,100,..,..,..,..,..,..,..
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,Nigeria,NGA,50,..,50,..,..,..,..,..,..,..
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Ghana,GHA,310,296,287,276,260,253,264,239,234,..
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Kenya,KEN,203,196,186,183,176,184,183,155,149,..
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Nigeria,NGA,1168,1155,1142,1118,1091,1065,1046,1016,993,..
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Ghana,GHA,..,..,334,..,..,..,..,..,..,..
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Kenya,KEN,..,..,..,..,..,..,..,..,..,..
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Ghana,GHA,24.4,24.6,24.9,25.3,25.7,..,..,..,..,..
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Kenya,KEN,27.3,27.4,27.7,28,28.3,..,..,..,..,..
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Nigeria,NGA,21.4,21.4,21.1,20.9,20.7,..,..,..,..,..
"Mortality caused by road traffic injury, female (per 100,000 female population)",SH.STA.TRAF.FE.P5,Ghana,GHA,11.2,11.2,11.2,11.2,11.2,..,..,..,..,..
"Mortality caused by road traffic injury, female (per 100,000 female population)",SH.STA.TRAF.FE.P5,Kenya,KEN,13.6,13.8,14,14.2,14.4,..,..,..,..,..
"Mortality caused by road traffic injury, female (per 100,000 female population)",SH.STA.TRAF.FE.P5,Nigeria,NGA,13.4,13.4,13.3,13.3,13.1,..,..,..,..,..
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Ghana,GHA,37.2,37.7,38.3,39,39.7,..,..,..,..,..
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Kenya,KEN,41.1,41.3,41.5,41.9,42.4,..,..,..,..,..
"Mortality caused by road traffic injury, male (per 100,000 male population)",SH.STA.TRAF.MA.P5,Nigeria,NGA,29.2,29.2,28.8,28.4,28.2,..,..,..,..,..
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,Ghana,GHA,24.2,23.9,23.6,23.2,22.8,22.8,22.2,..,..,..
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,Kenya,KEN,18.3,18.2,18.7,19.4,19.1,18.8,18,..,..,..
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,Nigeria,NGA,17.4,17.3,17.1,17.1,17.1,17.9,17.7,..,..,..
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,Ghana,GHA,20.7,20.5,20.1,19.9,19.6,19.5,19.7,..,..,..
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,Kenya,KEN,19.1,18.8,18.8,18.9,18.6,17.4,17.8,..,..,..
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,Nigeria,NGA,16.4,16.3,16.1,16.1,16.2,16.9,16.9,..,..,..
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,Ghana,GHA,27.8,27.6,27.3,26.7,26.3,26.3,24.9,..,..,..
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,Kenya,KEN,17.6,17.6,18.6,20,19.8,20.4,18.3,..,..,..
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,Nigeria,NGA,18.5,18.3,18.1,18.1,18.1,19,18.5,..,..,..
"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",SH.STA.AIRP.P5,Ghana,GHA,..,..,..,..,193.6,..,..,..,..,..
"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",SH.STA.AIRP.P5,Kenya,KEN,..,..,..,..,131.9,..,..,..,..,..
"Mortality rate attributed to household and ambient air pollution (per 100,000 population)",SH.STA.AIRP.P5,Nigeria,NGA,..,..,..,..,165.2,..,..,..,..,..
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",SH.STA.AIRP.FE.P5,Ghana,GHA,..,..,..,..,159.9,..,..,..,..,..
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",SH.STA.AIRP.FE.P5,Kenya,KEN,..,..,..,..,114.2,..,..,..,..,..
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",SH.STA.AIRP.FE.P5,Nigeria,NGA,..,..,..,..,162.9,..,..,..,..,..
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",SH.STA.AIRP.MA.P5,Ghana,GHA,..,..,..,..,231.5,..,..,..,..,..
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",SH.STA.AIRP.MA.P5,Kenya,KEN,..,..,..,..,154.9,..,..,..,..,..
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",SH.STA.AIRP.MA.P5,Nigeria,NGA,..,..,..,..,167.2,..,..,..,..,..
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",SH.STA.POIS.P5,Ghana,GHA,0.96,0.96,0.95,0.9,0.9,0.85,0.87,..,..,..
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",SH.STA.POIS.P5,Kenya,KEN,1.63,1.62,1.64,1.74,1.72,1.63,1.49,..,..,..
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",SH.STA.POIS.P5,Nigeria,NGA,1,0.93,1.04,1.05,0.98,1.04,1.07,..,..,..
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE,Ghana,GHA,0.77,0.78,0.78,0.74,0.74,0.71,0.75,..,..,..
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE,Kenya,KEN,1.21,1.21,1.14,1.15,1.14,1.09,1.05,..,..,..
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE,Nigeria,NGA,0.95,0.87,1.02,1.02,0.95,1,1.03,..,..,..
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA,Ghana,GHA,1.15,1.14,1.13,1.07,1.05,1,0.99,..,..,..
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA,Kenya,KEN,2.05,2.04,2.15,2.33,2.29,2.17,1.95,..,..,..
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA,Nigeria,NGA,1.05,0.99,1.06,1.07,1.02,1.08,1.11,..,..,..
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,Ghana,GHA,..,..,..,..,25.2,..,..,..,..,..
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,Kenya,KEN,..,..,..,..,29,..,..,..,..,..
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,Nigeria,NGA,..,..,..,..,71.7,..,..,..,..,..
